_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65cefd772c98ce4374afebab||81.63|95.83|81.63|71.6|46,0,0,0|words|10|-1|10|6.76|0|20.57|false|false|english|none|normal|false|false|false||1708064119000
65cef4f92c98ce4374afa5da||76.8|91.23|76.8|57.93|52,0,0,0|words|10|-1|10|8.13|0|21.82|false|false|english|none|normal|false|false|false||1708061945000
65cef4cd2c98ce4374afa469||93.38|100|93.38|79.8|49,0,0,0|words|10|-1|4|6.3|0|8.3|false|false|english|none|normal|false|false|false||1708061901000
65cef4ba2c98ce4374afa3cb||69.47|92.45|69.47|72.92|49,0,0,0|words|10|-1|2|8.46|0|1.92|false|false|english|none|normal|false|false|false||1708061882000
65cef4ab2c98ce4374afa34e||62.66|93.55|62.66|46.03|57,0,0,0|words|10|-1|6|10.92|1|14.1|false|false|english|none|normal|false|false|false||1708061867000
65cef4882c98ce4374afa238||75.95|97.67|75.95|54.97|42,0,0,0|words|10|-1|2|6.64|0|5.76|false|false|english|none|normal|false|false|false||1708061832000
65cef3c22c98ce4374af9c90||96.11|100|96.11|67.61|49,0,0,0|words|10|-1|1|6.12|0|7.73|false|false|english|none|normal|false|false|false||1708061634000
65cef3af2c98ce4374af9c0c||91.35|97.87|91.35|60.44|46,0,0,0|words|10|-1|0|6.04|0|0|false|false|english|none|normal|false|false|false||1708061615000
65cef3a62c98ce4374af9bd1||71.62|94.74|71.62|57.75|54,0,0,0|words|10|-1|1|9.05|0|10.63|false|false|english|none|normal|false|false|false||1708061606000
65ce17722c98ce4374a60445||88.44|100|88.44|79.37|47,0,0,0|words|10|-1|62|6.38|0|147.73|false|false|english|none|normal|false|false|false||1708005234000
65ce16862c98ce4374a5f6cf||92.94|100|92.94|67.88|50,0,0,0|words|10|-1|0|6.46|0|0|false|false|english|none|normal|false|false|false||1708004998000
65ce167e2c98ce4374a5f65b||89.93|92.59|103.62|66.26|46,2,0,0|words|10|-1|8|6.14|0|8.01|false|false|english|none|normal|false|false|false||1708004990000
65ce16662c98ce4374a5f509||93.89|100|93.89|73.01|51,0,0,0|words|10|-1|13|6.52|0|28.79|false|false|english|none|normal|false|false|false||1708004966000
65ce16382c98ce4374a5f260||96.2|92.31|104.38|82.19|47,2,0,1|words|10|-1|10|5.86|0|12.01|false|false|english|none|normal|false|false|false||1708004920000
65ce15f02c98ce4374a5ee91||97.31|100|97.31|75.99|51,0,0,0|words|10|-1|20|6.29|0|43.63|false|false|english|none|normal|false|false|false||1708004848000
65ce15a42c98ce4374a5ea6c||79.07|96.12|79.07|66.43|99,0,0,0|time|15|-1|7|15.03|0|28.93|false|false|english|none|normal|false|false|false||1708004772000
65ce15722c98ce4374a5e7ab||71.95|94.74|71.95|63.7|90,0,0,0|time|15|-1|60|15.01|0|123.68|false|false|english|none|normal|false|false|false||1708004722000
65ce05432c98ce4374a52434||95.33|100|95.33|68.76|50,0,0,0|words|10|-1|6|6.29|0|11.99|false|false|english|none|normal|false|false|false||1708000579000
65bdfc9e97665dc8e5554645||32.34|89.29|32.34|7.47|49,0,0,0|words|10|-1|25|18.18|6|88.18|false|false|english|none|normal|false|false|false||1706949790000
65ba0e3f97665dc8e52d6ccf||42.36|100|42.36|64|55,0,0,0|words|10|-1|2|15.58|0|4.21|false|false|english|none|normal|false|false|false||1706692159000
65ba0df597665dc8e52d6a52||61.31|86.44|78.42|61.22|43,2,0,1|words|10|-1|4|8.42|0|11.04|false|false|english|none|normal|false|false|false||1706692085000
65ba0dd697665dc8e52d6957||26.8|88.52|26.8|27.04|52,0,0,0|words|10|-1|5|23.28|1|6.09|false|false|english|none|normal|false|false|false||1706692054000
65b55a4511c8b786c0f1b060||88.55|100|88.55|81.99|48,0,0,0|words|10|-1|8|6.51|0|17.27|false|false|english|none|normal|false|false|false||1706383941000
65b55a1b11c8b786c0f1aed9||76.14|92.16|88.84|82.04|42,1,0,0|words|10|-1|2|6.62|0|2.99|false|false|english|none|normal|false|false|false||1706383899000
65b559f911c8b786c0f1ad86||91.78|100|91.78|63.78|47,0,0,0|words|10|-1|39|6.15|0|94.12|false|false|english|none|normal|false|false|false||1706383865000
65b3682b11c8b786c0dee80c||73.55|98.94|75.14|74.96|92,1,0,0|time|15|-1|54|15.01|0|134.92|false|false|english|none|normal|false|false|false||1706256427000
65b10c2611c8b786c0c5483d||29.58|92.5|29.58|42.72|37,0,0,0|time|15|-1|7|15.01|0|20.72|false|false|english|none|normal|false|false|false||1706101798000
65adfe91908c90eb446214ab||86.32|98.18|86.32|74.29|108,0,0,0|time|15|-1|7|15.01|0|18.35|false|false|english|none|normal|false|false|false||1705901713000
65adfd96908c90eb44620d30||70.37|93.07|78.36|70.56|88,2,0,1|time|15|-1|20|15.01|0|68.62|false|false|english|none|normal|false|false|false||1705901462000
65ad12df908c90eb445a8bb0||71.15|90.2|75.14|67.25|89,1,0,1|time|15|-1|55|15.01|0|118.58|false|false|english|none|normal|false|false|false||1705841375000
